description,label_history,label_food,label_adventure,label_culture,label_nature,label_relaxation,label_shopping,label_nightlife,label_family,label_local_experience,label_luxury,label_budget_conscious,label_accessibility,label_early_riser,label_night_owl,label_off_beaten_path,label_instagram_worthy,label_needs_breaks,label_sustainable,label_vegetarian,label_group_activities
"I'm looking for a family-friendly destination with a touch of history, somewhere off the usual tourist trail.  Luxury accommodations are a must, and I want a place where we can relax and unwind, too.",1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
I love taking my family on trips where we can immerse ourselves in the local culture and enjoy amazing food.  We always try to find spots that are photogenic and make for great memories.,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"I'm looking for a place with amazing food, especially local and sustainable options, and a lively nightlife scene, but also someplace that allows for breaks so I can really relax and recharge.  Family-friendly activities would be great too, and I'm a night owl so I want a place that stays up late.",0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
"I love soaking up history and culture, but I also need a place that allows for some serious relaxation.  Plus, I'm a night owl, so a spot with good evening options is key, and I need something easily accessible.",1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"I'm looking for a trip that prioritizes relaxation and soaking in the local culture and history.  Ideally, places with vegetarian options and plenty of opportunities to recharge with breaks are a must, and of course,  some Instagram-worthy spots to capture the memories!",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"I love exploring new cultures,  especially when there's good shopping to be had!  Relaxing by the pool with my family is a must, and ideally,  the resort should be accessible to everyone.",0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"I love exploring new places with my family, soaking up the local culture and history.  We're always looking for places that are eco-friendly and offer delicious vegetarian options, and of course, there's always room for a bit of souvenir shopping along the way.",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"I'm looking for a place with good family-friendly options and some lively nightlife, but also spots where we can all relax and recharge.  We'd enjoy group activities together and having some downtime built into the schedule.  And of course, great food is a must, and maybe some fun shopping opportunities.",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
"I love soaking up the local culture and finding those hidden gems off the main tourist trails.  Family-friendly activities are a must, but I also need some downtime and quiet time for myself, especially with my night owl tendencies.  And of course, a good nightlife scene is a must!",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"I love exploring new places, especially those with great shops and delicious vegetarian options.  I'm also looking for spots with beautiful, photogenic scenery for my Instagram feed, and hopefully some vibrant nightlife to round things out.  Plus,  good accessibility is a must for me when I travel.",0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
"I'm looking for a city with vibrant nightlife, lots of cool cultural experiences, and ideally, some stunning natural areas nearby.  I'm also hoping for a luxurious experience, while sticking to vegetarian options wherever possible.",0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"I love getting lost in nature, and I'm always up for some great shopping, especially if it's part of a group activity.  Plus, I'm a night owl, so I'm happy to stay up late exploring new places.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"I love exploring nature with my family, and we always appreciate a luxurious touch.  Plus, I'm an early bird, so waking up before the sun to see the sunrise is a must.",0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"I love a city with a vibrant nightlife scene, great for grabbing drinks and dancing.  I also enjoy some shopping, but I'm really keen on finding unique local experiences,  and activities you can do in a group, plus, I want places that are photo-worthy!",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
"I love exploring a city's history, but I also need some downtime to relax and recharge.  I'm a big fan of finding hidden gems and local experiences, and I'm not afraid to stay up late, as long as I have the energy to shop till I drop!",1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"I love exploring new places, especially those with stunning natural scenery.  I'm always on the lookout for unique, Instagram-worthy spots and opportunities for some serious retail therapy, but I prioritize sustainable options whenever possible.",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"I'm really into finding those hidden gems off the usual tourist trails, places where the food scene is vibrant and full of delicious vegetarian options.  And, of course, I'm always looking for places with a lively nightlife that's eco-friendly and sustainable.",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
"I love immersing myself in the local culture, but I also need downtime built into the itinerary.  Nature and history are huge for me, and I'm definitely a night person, so I enjoy exploring the city after everyone else has gone to bed.",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"I love getting lost in nature, especially at night.  Finding delicious, local, and sustainable food is a major priority for me, and I'm always up for a late-night adventure.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"I'm looking for a trip that prioritizes relaxation and delicious food, preferably somewhere off the main tourist trail.  We'd love to do some shopping and find some unique local experiences, and it would be great if there were opportunities for group activities so we can bond as a family.",0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"I'm looking for a trip that blends relaxation with some cool, off-the-beaten-path adventures.  We need breaks built in, so we can soak up the local culture and nightlife, too,  while making sure there's plenty of family time.",0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
"I'm looking for a truly relaxing getaway, ideally somewhere with stunning natural scenery and easy access.  Luxury accommodations are a must, and I really want to immerse myself in the local culture and experiences.",0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"I'm really looking for a place with delicious local food and a rich history that I can share with my family.  Plus, bonus points if there are some Instagram-worthy spots and opportunities to get a truly local experience.",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"I love exploring new markets and finding unique souvenirs for my family, and we always enjoy some late-night snacks together.  Plus, I prefer places with good vegetarian options.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"I love exploring nature, soaking up the history and culture of a place, and finding those Instagram-worthy spots.  I'm also an early riser, so I'm always looking for opportunities to get out and see the world before the crowds.",1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"I'm really into exploring places with a rich history and unique culture, and I love finding those hidden gems off the main tourist trails.  I also enjoy a great shopping experience, and a vibrant nightlife scene, ideally with eco-friendly options.  Luxury accommodations are a must for me, so it needs to be a place where I can feel pampered while still being respectful of the local environment.",1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"I'm looking for a family-friendly trip with a focus on local culture and history, ideally somewhere affordable.  I'd prefer places with vegetarian options and that prioritize sustainability.",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"I'm looking for a destination that's great for the whole family,  with interesting local culture and some lively nightlife options, but also with places to relax and unwind.  Ideally, it would be accessible and support sustainable practices.",0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"I'm looking for a relaxing trip steeped in history, preferably somewhere off the tourist trail.  I'm on a tight budget and really want to experience the local culture, not just the major sights.",1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"I'm looking for a family-friendly trip that explores lesser-known historical sites.  We prioritize places with sustainable practices, and naturally crave delicious vegetarian food options.  Relaxation is key, and exploring off the typical tourist trail is a must.",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"I love exploring history, and I'm always looking for a good adventure.  It's great to travel with my family, but we also need to find some off-the-beaten-path spots where we can soak up the local culture, and I'm a night owl, so I'm always up for some late-night shopping!",1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"I'm really into exploring local culture, especially through group tours.  I also love finding places with vibrant nightlife and opportunities for outdoor adventures, but I'm especially interested in destinations that prioritize sustainability.",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"I'm looking for a relaxing getaway with delicious vegetarian food, ideally somewhere with beautiful scenery that's perfect for Instagram.  Plus, it's important to me that the place is environmentally friendly.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"I'm an early bird, so I love hitting the shops right when they open.  It's great to get a jump on the crowds and then I need a little break in the afternoon to recharge, especially when traveling with the family.",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"I love trying new vegetarian food, especially at quirky little restaurants.  I'm always up for an adventure, but I like to keep things affordable, and I'm often up late exploring a new place.",0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"I love getting lost in nature, hiking and exploring new trails.  I'm also a big fan of finding unique places to eat vegetarian food and staying up late to experience the night.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"I love a good nightlife scene, but I also need some stunning nature hikes to recharge.  I'm an early riser, so I can make the most of the sunrise views, and I'm always looking for that perfect Instagrammable moment.",0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"I'm looking for a destination with good family-friendly activities, but also some places to grab a bite on a budget.  We need lots of breaks built in, and ideally some fun group activities for everyone to enjoy at night.",0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
"I'm really looking for a city with a vibrant nightlife scene, but also places to explore that aren't overly touristy.  I love learning about history, and I'd prefer a destination where I can take some time to relax and unwind between adventures, discovering hidden gems and local experiences.",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"I'm really into trying local food and learning about a place's history, and I enjoy joining in on group activities.  Plus, I'm a night owl, so I'm usually up for exploring late into the evening.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"I love soaking up the history of a place, trying all the local food, and hitting up the best nightlife spots.  I also need a few downtime moments each day, prefer vegetarian options, and I'm up early, ready to explore before the crowds arrive.",1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
"I'm really drawn to destinations with vibrant nightlife and a rich history, and I love immersing myself in the local culture.  Group tours are great for me, and I always try to choose places that prioritize sustainable practices.",1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"I'm really drawn to places with rich cultures and vibrant food scenes, and I love getting up early to experience the local life before the crowds arrive.  Accessibility is also a big factor for me, as I want to be able to get around easily.",0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"I'm looking for a place with a good vibe for relaxing, soaking up the local history, and then hitting up the cool night spots.  I prefer vegetarian options, and I'm definitely a night owl, so places open late are a must.",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"I'm looking for a city with a lively nightlife scene, good shopping, and plenty of places to unwind.  Accessibility is important to me, and I really want to experience the local culture firsthand.",0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"I love exploring local markets and finding unique souvenirs, but good nightlife is a must too.  I'm always up for a hidden gem, somewhere off the usual tourist trail, and I prefer places with fantastic nature walks, as long as there are veggie options.",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"I love exploring nature, especially hidden local gems.  I'm always up for a cultural immersion, and I'm hoping to find some fantastic shops along the way.  Plus, I'm vegetarian, so it's great if local restaurants offer delicious plant-based options.",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"We're a family who loves history and soaking up the local culture, but we also need regular breaks to recharge.  We're looking for places that prioritize sustainability, and I'm a big fan of getting up early to enjoy the quiet moments before the crowds arrive.",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
"I love finding unique souvenirs and browsing markets, and good food is a must.  I'm always looking for photo-worthy spots, but I'm also trying to keep costs down as much as possible.",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"I love exploring nature, especially when there's a lively nightlife scene nearby.  I'm a history buff, and I'm always up for an adventure, but I prefer vegetarian options and stay up late most nights.",1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"I love exploring a city's history, especially when I can do it with my family.  Plus, I'm always up for a good adventure and a late-night drink or two, and I like to stay in places that have a touch of luxury.",1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"I'm really drawn to places with rich cultural heritage and stunning natural beauty.  I love immersing myself in the local scene and experiencing things authentically, preferably with a touch of luxury.",0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"I love a good city with a buzzing nightlife scene, but I also need some downtime for relaxation.  I'm an early riser, so I enjoy exploring the best spots before the crowds, and I'm always looking for photo ops, places that are instagram-worthy.  Plus, I need breaks built into my itinerary so I don't get burnt out.",0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
"I'm really into exploring places with a rich history, especially if they have a vibrant nightlife scene.  I also love group activities, and ideally, they'd be part of a sustainable, luxurious experience.",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
"I'm looking for a destination with a vibrant nightlife scene, but I also want to immerse myself in the local culture and make sure there are opportunities for family-friendly activities.  I also like to splurge a bit, but also need some downtime built into the trip, it's good to be able to relax every now and then.",0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"I'm looking for a place with vibrant nightlife, delicious food—especially vegetarian options—and lots of access for getting around.  I'd also love to experience the local culture and see some beautiful nature spots.",0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"I love immersing myself in nature, discovering local history, and soaking up the culture.  Plus, I need some downtime built into the itinerary, and  easy access to everything is a must.",1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"I love soaking up the local culture, and trying the amazing food is a must for me.  I'm also looking for some good shopping opportunities, but mostly want to relax and unwind after a busy day.  Group activities would be fun too, if they fit well with the overall vibe of the destination.",0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"I love soaking up a city's history, browsing the shops for unique souvenirs, and finding a quiet spot to relax after a long day of exploring.  Plus, I'm always looking for Instagram-worthy photo ops, and I'm really drawn to the best restaurants and trying new foods while I'm out and about at night.",1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"I love a good historical site, but I'm also really into finding the best local spots for live music at night.  I'm looking for a place where I can experience the culture on a budget and I prefer hitting the sights and shops early in the morning when the crowds aren't as thick.",1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"I'm looking for a place with good accessibility, so I can easily get around.  I want to explore the local culture and delicious food, and ideally be able to join some group activities, while also having plenty of options for relaxation and nice, upscale nightlife.",0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"I love exploring a city's nightlife, finding great spots for drinks and live music.  I also enjoy browsing unique shops and finding something special to take home,  and I'm always up for a group activity, maybe a hike in a scenic park to get some Instagram-worthy photos too.",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"I love waking up before the sun to enjoy the quiet beauty of nature.  Sustainable practices are important to me, and I'm looking for a relaxing getaway where I can truly unwind.",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"We're looking for a family-friendly destination with plenty of opportunities for relaxation and interesting historical sites.  We really want to do some group activities together, and of course, places with beautiful scenery that are perfect for Instagram photos are a plus!",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"I'm really into experiencing local culture and vibrant nightlife, and I'm always looking for places with good vegetarian options.  Sustainable practices are also a big deal to me, so I'd prefer to stay somewhere that prioritizes environmental responsibility.",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"We're a family that loves a good adventure, and honestly, we're not afraid to stay up late exploring the nightlife, especially when there are some great veggie options.  Plus, we're always looking for ways to stretch our vacation dollars.",0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
"I'm looking for a place where I can unwind after a long day, and also have some fun at night.  I'm a pretty early bird, so I'm hoping for some nice, quiet mornings, and I'm trying to keep costs down as much as possible.",0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"I love getting lost in nature, hiking and exploring new places.  I'm always up for an adventure, and I'm especially drawn to places with delicious vegetarian food, plus I'm a night owl, so I'm happy to stay up late and see the sights after dark.",0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"I love a good adventure, especially early in the morning, and soaking up the local culture is a must.  Nightlife is important to me, but I also need to be able to easily get around with my family.",0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"I'm really drawn to places with a vibrant cultural scene, and I love browsing local markets.  Plus, good accessibility is a must for me, and I need regular breaks to recharge, especially when traveling sustainably.",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"I'm really looking for a place with amazing local food and a vibrant nightlife scene, ideally somewhere that offers a unique cultural experience.  Sustainable practices and photo-worthy spots are a plus, too.",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
"We're looking for a place that offers easy access for everyone, so we can really relax and enjoy the local cuisine.  Family-friendly activities and experiences are a must,  and I'm hoping to get a true taste of what the region has to offer.",0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"I'm really drawn to places with a rich history and vibrant culture, and I love exploring local markets for delicious, vegetarian food.  Nature is important too, but I'm on a tighter budget, so I'm looking for affordable spots that offer those things.",1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"I love getting up early to soak in the scenery and find the best spots for breakfast.  My family and I are always looking for places with amazing nature, delicious vegetarian food, and good relaxation time.  We're also on a tight budget, so we prioritize value and great deals.",0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
"I love a city with a vibrant nightlife scene, great shopping, and lots to learn about the local culture.  I also need downtime built in, and preferably something really luxurious to unwind in, and places to really experience the ""local vibe.""",0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"I'm looking for a place with amazing nature, maybe a hike or some stunning scenery.  I want to experience the local nightlife, but also find some quiet, off-the-beaten-path gems,  and importantly, it needs to be family-friendly.",0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"I'm looking for destinations that offer a blend of unique cultural experiences and stunning natural beauty.  I love to find hidden gems off the main tourist trails, and ideally, places that prioritize sustainable practices.  Naturally, I'm drawn to high-end shopping and a vibrant nightlife scene, too.",0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"I love a city with a vibrant nightlife, especially places where I can grab a delicious bite to eat and then wander around to see all the historical sights.  Just make sure there are plenty of opportunities to take a break and find those photo-worthy spots for my Instagram feed.",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"I love exploring hidden gems, finding those off-the-beaten-path shops and cafes.  Nature is a must, but I also crave a vibrant nightlife, so I'm usually up late, soaking in the atmosphere.",0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"I love browsing through markets and soaking up the local culture, but I also need regular breaks and some luxurious amenities to recharge.  Shopping is a big part of my travel experience, and I want a trip that offers both great cultural immersion and comfort.",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"We're looking for a relaxing getaway that prioritizes family time, with luxurious accommodations.  We need some built-in downtime and breaks throughout the trip, though, so it's important that the activities aren't overwhelming.",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"I'm really drawn to places with rich cultures and stunning natural beauty.  I love trying local food, and getting a true sense of the place through local experiences.  Group activities are also fun, a great way to meet other people and explore together.",0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"I love exploring less-touristy spots, and I'm always up for group activities with the family.  We have to hit the local markets for unique souvenirs, and I'm definitely a morning person, so we can get in a good hike or visit before the crowds get too big.  We also need some lively nights out, but I want places where the food is as good as the fun.",0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1
"I'm really into exploring historical sites and soaking up the local culture, and I love browsing markets for souvenirs.  Plus, I need to factor in some downtime and a few vegetarian meal options, and I'm definitely looking for places that are good value for money.",1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
"I'm looking for a place with vibrant nightlife, delicious food—especially vegetarian options—and a chance to connect with the local culture.  Ideally, it would be a destination that allows for some relaxing breaks throughout the trip, so I can enjoy the experience with my family.",0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
"I'm looking for a place where we can truly unwind as a family, somewhere off the main tourist trails.  I also love staying up late, exploring the local area at night.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"I'm looking for a family-friendly trip that's good on the wallet, ideally somewhere with delicious food and lots of options for outdoor activities.  Sustainability is important to me too, so I'd love to find places that prioritize environmental responsibility.",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"I love relaxing by the pool, but I'm also up for some good shopping, especially with the family.  We're definitely a night-owl bunch, and finding vegetarian options is important to us.",0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"I'm looking for a place with vibrant nightlife, good family-friendly activities, and plenty of great food to try.  Plus, bonus points if it's got some instagram-worthy spots and supports sustainable practices.",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"I'm looking for a family-friendly destination with a vibrant nightlife scene, ideally somewhere with lots of historical sites to explore.  We'd love group activities and a luxurious experience, and  I'm particularly interested in getting a true taste of the local culture.",1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
"I love immersing myself in a destination's history, especially when I can share it with my family.  Finding unique, sustainable local experiences that are also photo-worthy is key for me.",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
"I'm looking for a place with delicious, locally sourced food and a vibrant nightlife scene that isn't overly touristy.  Ideally, something a little off the beaten path,  but with great family-friendly activities, and some high-end shopping options, preferably those committed to sustainable practices.",0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
"I love exploring nature, especially early in the morning before the crowds.  I'm also a vegetarian and prioritize places with delicious food and vibrant cultural experiences, but that also have easy access for getting around.",0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"I love traveling with my family, and we always prioritize finding good restaurants.  Plus,  we need somewhere easily accessible for everyone, and I'm definitely an early bird, so a location with early morning activities would be ideal.",0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"I love exploring historical sites, especially when the sun is just coming up—I'm an early bird, you see.  Plus,  I'm always looking for picturesque spots to snap a few Insta-worthy photos while I'm trying different local dishes, and soaking in the amazing nature around me.",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"I love exploring local cultures and historical sites, and we're always up for a good adventure.  Family time is important to us, but I also appreciate places that are easy to get around, even if it means a late night or two.",1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"I love exploring historical sites and soaking up the local culture, and I'm a big fan of group tours that make it easy to get around.  Plus, I'm an early bird, so I'm always up for hitting the sights before the crowds.",1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"I'm always up for exploring hidden trails and ancient ruins, soaking in the local culture.  I love a good historical site, but I also enjoy a lively nightlife scene,  and I'm happy to find budget-friendly ways to experience everything.",1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"I'm looking for a trip focused on hiking and exploring the outdoors, with delicious vegetarian meals, and ideally places that are easily accessible for someone with limited mobility.  Nature, good food, and a bit of adventure are key to a great trip for me.",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"I'm looking for a place with beautiful scenery and lots of opportunities to relax, maybe even some Instagram-worthy spots.  I also enjoy shopping, and would love a destination that has some group activities planned, too.",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"I'm looking for a place with a good vibe for evening fun,  something that also works well for our family and has easy access for everyone.  Group activities would be great too, something to do together as a family.",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"I love exploring less-traveled spots, immersing myself in local culture, and finding hidden gems.  I'm also a vegetarian, so it's important to me that there are good plant-based options available, and of course,  I enjoy browsing the local markets and soaking up the historical sites.",1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"I love getting lost in nature, hiking and exploring parks.  I also enjoy browsing local markets and shops, and I'm a vegetarian, so finding good places to eat is key.  Plus, I'm a night owl, so I'm happy to stay up late and experience the city at night.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"I love a good adventure, especially ones that let me soak up the local culture with my family.  We're always looking for places that prioritize sustainability and I'm a huge fan of waking up early to catch the best light for some seriously Instagram-worthy shots.",0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"I'm looking for a city with a vibrant nightlife scene, but also lots of interesting cultural experiences.  I need some built-in downtime to recharge, and I'd love to do some group activities to meet other people, preferably some that are super photogenic.",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
"I'm looking for a trip that combines thrilling adventures with incredible local cuisine and a deep dive into the culture, all while supporting sustainable practices and enjoying a touch of luxury.  Accessibility is also a must, so I can fully experience everything without limitations.",0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"I love exploring new cultures and finding hidden gems in nature, and I'm always up for an adventure, ideally with the family.  I'm a morning person, and I usually stick to vegetarian options when we're traveling.",0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"I love exploring new places, especially those with a rich history, and finding delicious vegetarian food is a must.  I'm also looking for family-friendly spots with vibrant nightlife, and of course, I want to snap some amazing Instagram-worthy photos.",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"I love exploring new places with my family, especially ones that offer group activities.  We're also looking for destinations with lots of interesting shops and, of course, opportunities to experience the local culture, but also ones that are easily accessible for everyone in our group.",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"I love immersing myself in nature, but I also need regular breaks to recharge.  Plus, I'm always looking for Instagram-worthy spots to capture the cultural scenes and stunning landscapes.",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"I'm really into soaking up the local culture, finding those hidden gems off the beaten path, and I love a good, luxurious stay.  Plus, I'm happiest staying up late exploring the city's vibrant nightlife.",0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"I'm looking for a trip that prioritizes delicious, local food experiences and includes some active group outings.  Ideally, the activities would support sustainable practices, too, making it a memorable and enriching journey.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"We're looking for a family-friendly adventure that prioritizes eco-tourism.  Something luxurious, with high-quality accommodations, but that also supports local communities and minimizes environmental impact.",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"We're looking for a place with delicious vegetarian options, and ideally some local food experiences.  Relaxation is key, but we also want to do some group activities that the whole family can enjoy, plus maybe some history-focused things to learn about the area.",1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
I'm really drawn to places with a rich history and fascinating local culture.  I love getting off the main tourist trails and experiencing things the guidebooks don't always highlight.  That kind of authentic local experience is what truly makes a trip memorable for me.,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
